3 : [ 0 1 148 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7388955582232892
3 : [ 0 1 149 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 150 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 151 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.667267483777938
3 : [ 0 1 152 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6771809661139149
3 : [ 0 1 153 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 154 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6770007209805334
3 : [ 0 1 155 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.5351599619892303
3 : [ 0 1 156 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 159 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6322463768115941
3 : [ 0 1 160 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6295289855072465
3 : [ 0 1 161 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6317934782608696
3 : [ 0 1 162 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6342089371980676
